Date,confirmed,death,recovered,Active,New confirmed,New deaths,New recovered,Recovery rate(per 100),Mortality rate(per 100),Number of countries
1/1/21,84053649,1835201,46794093,35424355,0,0,0,55.67,2.18,189
1/10/21,90317401,1942256,49432662,38942483,90317401,0,49432662,54.73,2.15,189
1/11/21,90936207,1952506,49712690,39271011,90936207,0,49712690,54.67,2.15,189
1/12/21,91641113,1969542,50047940,39623631,91641113,0,50047940,54.61,2.15,189
1/13/21,92388576,1986182,50405493,39996901,92388576,0,50405493,54.56,2.15,189
1/14/21,93143318,2001472,50769576,40372270,93143318,0,50769576,54.51,2.15,189
1/15/21,93908408,2016499,51081534,40810375,93908408,0,51081534,54.4,2.15,189
1/16/21,94547190,2029693,51392002,41125495,94547190,0,51392002,54.36,2.15,189
1/17/21,95075406,2038249,51700386,41336771,95075406,0,51700386,54.38,2.14,189
1/18/21,95590464,2047564,52011094,41531806,95590464,0,52011094,54.41,2.14,189
1/19/21,96197507,2064115,52406127,41727265,96197507,0,52406127,54.48,2.15,189
1/2/21,84679196,1843605,47092261,35743330,84679196,0,47092261,55.61,2.18,189
1/20/21,96889400,2081949,52725623,42081828,96889400,0,52725623,54.42,2.15,189
1/21/21,97545457,2098670,53084388,42362399,97545457,0,53084388,54.42,2.15,190
1/22/20,557,17,30,510,557,0,30,5.39,3.05,6
1/22/21,98203758,2114604,53458754,42630400,98203758,0,53458754,54.44,2.15,190
1/23/20,655,18,32,605,655,0,32,4.89,2.75,8
1/23/21,98771294,2127837,53770648,42872809,98771294,0,53770648,54.44,2.15,190
1/24/20,941,26,39,876,941,0,39,4.14,2.76,9
1/24/21,99216974,2136732,54073553,43006689,99216974,0,54073553,54.5,2.15,190
1/25/20,1433,42,42,1349,1433,0,42,2.93,2.93,11
1/25/21,99713407,2147459,54380745,43185203,99713407,0,54380745,54.54,2.15,190
1/26/20,2118,56,56,2006,2118,0,56,2.64,2.64,13
1/26/21,100268516,2164754,54702640,43401122,100268516,0,54702640,54.56,2.16,190
1/27/20,2927,82,65,2780,2927,0,65,2.22,2.8,16
1/27/21,100865797,2181389,55198410,43485998,100865797,0,55198410,54.72,2.16,190
1/28/20,5578,131,108,5339,5578,0,108,1.94,2.35,16
1/28/21,101479816,2198376,55346660,43934780,101479816,0,55346660,54.54,2.17,190
1/29/20,6167,133,126,5908,6167,0,126,2.04,2.16,18
1/29/21,102069520,2213265,55704146,44152109,102069520,0,55704146,54.57,2.17,190
1/3/21,85212163,1850916,47347498,36013749,85212163,0,47347498,55.56,2.17,189
1/30/20,8235,171,143,7921,8235,0,143,1.74,2.08,20
1/30/21,102584391,2226779,56049686,44307926,102584391,0,56049686,54.64,2.17,190
1/31/20,9927,213,222,9492,9927,0,222,2.24,2.15,23
1/31/21,102966624,2234707,56334014,44397903,102966624,0,56334014,54.71,2.17,190
1/4/21,85765405,1861092,47624916,36279397,85765405,0,47624916,55.53,2.17,189
1/5/21,86504070,1876371,47933832,36693867,86504070,0,47933832,55.41,2.17,189
1/6/21,87285701,1891364,48239374,37154963,87285701,0,48239374,55.27,2.17,189
1/7/21,88165606,1906226,48555892,37703488,88165606,0,48555892,55.07,2.16,189
1/8/21,88965718,1921292,48845130,38199296,88965718,0,48845130,54.9,2.16,189
1/9/21,89728354,1934003,49168658,38625693,89728354,0,49168658,54.8,2.16,189
10/1/20,34325653,1024179,23753917,9547557,34325653,0,23753917,69.2,2.98,185
10/10/20,37274038,1074191,25733846,10466001,37274038,0,25733846,69.04,2.88,185
10/11/20,37561006,1078217,25954282,10528507,37561006,0,25954282,69.1,2.87,185
10/12/20,37852653,1082199,26153115,10617339,37852653,0,26153115,69.09,2.86,186
10/13/20,38171910,1087485,26341913,10742512,38171910,0,26341913,69.01,2.85,186
10/14/20,38554099,1093561,26552177,10908361,38554099,0,26552177,68.87,2.84,186
10/15/20,38960970,1099690,26757199,11104081,38960970,0,26757199,68.68,2.82,186
10/16/20,39372638,1105873,26957975,11308790,39372638,0,26957975,68.47,2.81,186
10/17/20,39745215,1111480,27156079,11477656,39745215,0,27156079,68.33,2.8,186
10/18/20,40061745,1115020,27354008,11592717,40061745,0,27354008,68.28,2.78,186
10/19/20,40448758,1119864,27553524,11775370,40448758,0,27553524,68.12,2.77,186
10/2/20,34623283,1029110,23924898,9669275,34623283,0,23924898,69.1,2.97,185
10/20/20,40837772,1126430,27762661,11948681,40837772,0,27762661,67.98,2.76,186
10/21/20,41282552,1133093,27976800,12172659,41282552,0,27976800,67.77,2.74,186
10/22/20,41755182,1139005,28201611,12414566,41755182,0,28201611,67.54,2.73,186
10/23/20,42251753,1145973,28400973,12704807,42251753,0,28400973,67.22,2.71,186
10/24/20,42708512,1151792,28611166,12945554,42708512,0,28611166,66.99,2.7,186
10/25/20,43068878,1156001,28806164,13106713,43068878,0,28806164,66.88,2.68,186
10/26/20,43555368,1161525,29042357,13351486,43555368,0,29042357,66.68,2.67,186
10/27/20,44025176,1168898,29629750,13226528,44025176,0,29629750,67.3,2.66,186
10/28/20,44536660,1176062,29892796,13467802,44536660,0,29892796,67.12,2.64,187
10/29/20,45087161,1183147,30136911,13767103,45087161,0,30136911,66.84,2.62,187
10/3/20,34955445,1034473,24179451,9741521,34955445,0,24179451,69.17,2.96,185
10/30/20,45657768,1190757,30389380,14077631,45657768,0,30389380,66.56,2.61,187
10/31/20,46134311,1197332,30631653,14305326,46134311,0,30631653,66.4,2.6,187
10/4/20,35216869,1038316,24399691,9778862,35216869,0,24399691,69.28,2.95,185
10/5/20,35517866,1045266,24634742,9837858,35517866,0,24634742,69.36,2.94,185
10/6/20,35844176,1051050,24865323,9927803,35844176,0,24865323,69.37,2.93,185
10/7/20,36195051,1056882,25118660,10019509,36195051,0,25118660,69.4,2.92,185
10/8/20,36556287,1063159,25336175,10156953,36556287,0,25336175,69.31,2.91,185
10/9/20,36917068,1069313,25540328,10307427,36917068,0,25540328,69.18,2.9,185
11/1/20,46596997,1202342,30887737,14506918,46596997,0,30887737,66.29,2.58,187
11/10/20,51606316,1276429,33331563,16998324,51606316,0,33331563,64.59,2.47,188
11/11/20,52254483,1286884,33709611,17257988,52254483,0,33709611,64.51,2.46,188
11/12/20,52904279,1296657,33932018,17675604,52904279,0,33932018,64.14,2.45,188
11/13/20,53556126,1306250,34230019,18019857,53556126,0,34230019,63.91,2.44,188
11/14/20,54150852,1315326,34505048,18330478,54150852,0,34505048,63.72,2.43,188
11/15/20,54624540,1321742,34732195,18570603,54624540,0,34732195,63.58,2.42,188
11/16/20,55158710,1329712,35118520,18710478,55158710,0,35118520,63.67,2.41,188
11/17/20,55769282,1340788,35547845,18880649,55769282,0,35547845,63.74,2.4,188
11/18/20,56396204,1352222,35906565,19137417,56396204,0,35906565,63.67,2.4,189
11/19/20,57049381,1363244,36276492,19409645,57049381,0,36276492,63.59,2.39,189
11/2/20,47159718,1208449,31165473,14785796,47159718,0,31165473,66.08,2.56,187
11/20/20,57717758,1375130,36627206,19715422,57717758,0,36627206,63.46,2.38,189
11/21/20,58305002,1384101,36962507,19958394,58305002,0,36962507,63.4,2.37,189
11/22/20,58792992,1391290,37232606,20169096,58792992,0,37232606,63.33,2.37,189
11/23/20,59317698,1399826,37638504,20279368,59317698,0,37638504,63.45,2.36,189
11/24/20,59907705,1412496,38006570,20488639,59907705,0,38006570,63.44,2.36,189
11/25/20,60543144,1424634,38440179,20678331,60543144,0,38440179,63.49,2.35,189
11/26/20,61125268,1435520,38803146,20886602,61125268,0,38803146,63.48,2.35,189
11/27/20,61812506,1446911,39179053,21186542,61812506,0,39179053,63.38,2.34,189
11/28/20,62398089,1456196,39534404,21407489,62398089,0,39534404,63.36,2.33,189
11/29/20,62886352,1463355,39849011,21573986,62886352,0,39849011,63.37,2.33,189
11/3/20,47713077,1217796,31413188,15082093,47713077,0,31413188,65.84,2.55,187
11/30/20,63394356,1472258,40245654,21676444,63394356,0,40245654,63.48,2.32,189
11/4/20,48224240,1228057,31690052,15306131,48224240,0,31690052,65.71,2.55,187
11/5/20,48821106,1236073,31991847,15593186,48821106,0,31991847,65.53,2.53,187
11/6/20,49465707,1245729,32276039,15943939,49465707,0,32276039,65.25,2.52,187
11/7/20,50062351,1253326,32572803,16236222,50062351,0,32572803,65.06,2.5,187
11/8/20,50546150,1259200,32824023,16462927,50546150,0,32824023,64.94,2.49,187
11/9/20,51047383,1266431,33077495,16703457,51047383,0,33077495,64.8,2.48,187
12/1/20,64006202,1484955,40716782,21804465,64006202,0,40716782,63.61,2.32,189
12/10/20,70542152,1586756,44567916,24387480,70542152,0,44567916,63.18,2.25,189
12/11/20,71244984,1599780,45039092,24606112,71244984,0,45039092,63.22,2.25,189
12/12/20,71879137,1610314,46537896,23730927,71879137,0,46537896,64.74,2.24,189
12/13/20,72409338,1617751,46928180,23863407,72409338,0,46928180,64.81,2.23,189
12/14/20,72933212,1626969,40931571,30374672,72933212,0,40931571,56.12,2.23,189
12/15/20,73569705,1640897,41283148,30645660,73569705,0,41283148,56.11,2.23,189
12/16/20,74302379,1654615,41639407,31008357,74302379,0,41639407,56.04,2.23,189
12/17/20,75041012,1668026,42008282,31364704,75041012,0,42008282,55.98,2.22,189
12/18/20,75760393,1680798,42318510,31761085,75760393,0,42318510,55.86,2.22,189
12/19/20,76371873,1691553,42664040,32016280,76371873,0,42664040,55.86,2.21,189
12/2/20,64656819,1497549,41174435,21984835,64656819,0,41174435,63.68,2.32,189
12/20/20,76904877,1699452,42935547,32269878,76904877,0,42935547,55.83,2.21,189
12/21/20,77453506,1709156,43271241,32473109,77453506,0,43271241,55.87,2.21,189
12/22/20,78102659,1723458,43626167,32753034,78102659,0,43626167,55.86,2.21,189
12/23/20,78796738,1737282,43943557,33115899,78796738,0,43943557,55.77,2.2,189
12/24/20,79463644,1748893,44254047,33460704,79463644,0,44254047,55.69,2.2,189
12/25/20,79928773,1757453,44544891,33626429,79928773,0,44544891,55.73,2.2,189
12/26/20,80441247,1764832,44951076,33725339,80441247,0,44951076,55.88,2.19,189
12/27/20,80879117,1772226,45232941,33873950,80879117,0,45232941,55.93,2.19,189
12/28/20,81375240,1782007,45519191,34074042,81375240,0,45519191,55.94,2.19,189
12/29/20,82037714,1797177,45862225,34378312,82037714,0,45862225,55.9,2.19,189
12/3/20,65350142,1510129,41596574,22243439,65350142,0,41596574,63.65,2.31,189
12/30/20,82797945,1812450,46242987,34742508,82797945,0,46242987,55.85,2.19,189
12/31/20,83521138,1825563,46514601,35180974,83521138,0,46514601,55.69,2.19,189
12/4/20,66033234,1522627,42081446,22429161,66033234,0,42081446,63.73,2.31,189
12/5/20,66674859,1532905,42512268,22629686,66674859,0,42512268,63.76,2.3,189
12/6/20,67213651,1540328,42823475,22849848,67213651,0,42823475,63.71,2.29,189
12/7/20,67733073,1549063,43226885,22957125,67733073,0,43226885,63.82,2.29,189
12/8/20,68375976,1561356,43661994,23152626,68375976,0,43661994,63.86,2.28,189
12/9/20,69044992,1574071,44082400,23388521,69044992,0,44082400,63.85,2.28,189
2/1/20,12038,259,284,11495,12038,0,284,2.36,2.15,25
2/1/21,103412512,2244875,56598542,44569095,103412512,0,56598542,54.73,2.17,190
2/10/20,42634,1013,3715,37906,42634,0,3715,8.71,2.38,26
2/10/21,107340237,2359476,59252488,45728273,107340237,0,59252488,55.2,2.2,190
2/11/20,44676,1113,4418,39145,44676,0,4418,9.89,2.49,26
2/11/21,107781157,2372893,59523261,45885003,107781157,0,59523261,55.23,2.2,190
2/12/20,45054,1118,4850,39086,45054,0,4850,10.76,2.48,26
2/12/21,108210228,2385325,59806679,46018224,108210228,0,59806679,55.27,2.2,190
2/13/20,60207,1371,5929,52907,60207,0,5929,9.85,2.28,26
2/13/21,108583181,2395092,60050509,46137580,108583181,0,60050509,55.3,2.21,190
2/14/20,66691,1523,7612,57556,66691,0,7612,11.41,2.28,27
2/14/21,108876765,2401389,60242718,46232658,108876765,0,60242718,55.33,2.21,190
2/15/20,68767,1666,8903,58198,68767,0,8903,12.95,2.42,27
2/15/21,109160133,2408278,60528261,46223594,109160133,0,60528261,55.45,2.21,190
2/16/20,70880,1770,10320,58790,70880,0,10320,14.56,2.5,27
2/16/21,109510727,2419146,60755832,46335749,109510727,0,60755832,55.48,2.21,190
2/17/20,72816,1868,11951,58997,72816,0,11951,16.41,2.57,27
2/17/21,109905819,2430459,61045739,46429621,109905819,0,61045739,55.54,2.21,190
2/18/20,74610,2008,13693,58909,74610,0,13693,18.35,2.69,27
2/18/21,110309028,2441623,61277712,46589693,110309028,0,61277712,55.55,2.21,190
2/19/20,75031,2123,15394,57514,75031,0,15394,20.52,2.83,28
2/19/21,110748423,2452729,61508332,46787362,110748423,0,61508332,55.54,2.21,190
2/2/20,16787,362,463,15962,16787,0,463,2.76,2.16,25
2/2/21,103869719,2259718,56944242,44665759,103869719,0,56944242,54.82,2.18,190
2/20/20,75578,2246,17371,55961,75578,0,17371,22.98,2.97,28
2/20/21,111118688,2461244,61773936,46883508,111118688,0,61773936,55.59,2.21,190
2/21/20,76207,2250,17968,55989,76207,0,17968,23.58,2.95,30
2/21/21,111432381,2467124,61988091,46977166,111432381,0,61988091,55.63,2.21,190
2/22/20,77968,2457,21852,53659,77968,0,21852,28.03,3.15,30
2/22/21,111721168,2474163,62166059,47080946,111721168,0,62166059,55.64,2.21,190
2/23/20,78291,2467,22304,53520,78291,0,22304,28.49,3.15,31
2/23/21,112109032,2485419,62439507,47184106,112109032,0,62439507,55.7,2.22,190
2/24/20,78855,2627,24047,52181,78855,0,24047,30.5,3.33,36
2/24/21,112553580,2497473,62645488,47410619,112553580,0,62645488,55.66,2.22,190
2/25/20,79708,2707,26652,50349,79708,0,26652,33.44,3.4,41
2/25/21,113000691,2507609,62869170,47623912,113000691,0,62869170,55.64,2.22,190
2/26/20,80671,2767,29079,48825,80671,0,29079,36.05,3.43,47
2/26/21,113414883,2517407,63125208,47772268,113414883,0,63125208,55.66,2.22,190
2/27/20,82031,2810,31920,47301,82031,0,31920,38.91,3.43,51
2/27/21,113784014,2525386,63372476,47886152,113784014,0,63372476,55.7,2.22,190
2/28/20,83417,2867,35305,45245,83417,0,35305,42.32,3.44,56
2/29/20,85308,2936,38313,44059,85308,0,38313,44.91,3.44,61
2/3/20,19887,426,608,18853,19887,0,608,3.06,2.14,25
2/3/21,104391471,2275367,57269222,44846882,104391471,0,57269222,54.86,2.18,190
2/4/20,23898,492,826,22580,23898,0,826,3.46,2.06,26
2/4/21,104857646,2287886,57559378,45010382,104857646,0,57559378,54.89,2.18,190
2/5/20,27643,564,1076,26003,27643,0,1076,3.89,2.04,26
2/5/21,105392184,2304356,57843713,45244115,105392184,0,57843713,54.88,2.19,190
2/6/20,30803,634,1423,28746,30803,0,1423,4.62,2.06,26
2/6/21,105764212,2314403,58134337,45315472,105764212,0,58134337,54.97,2.19,190
2/7/20,34335,719,1908,31708,34335,0,1908,5.56,2.09,26
2/7/21,106162037,2322277,58428001,45411759,106162037,0,58428001,55.04,2.19,190
2/8/20,37069,806,2470,33793,37069,0,2470,6.66,2.17,26
2/8/21,106477727,2330584,58620776,45526367,106477727,0,58620776,55.05,2.19,190
2/9/20,40096,906,3058,36132,40096,0,3058,7.63,2.26,26
2/9/21,106905092,2346090,58987735,45571267,106905092,0,58987735,55.18,2.19,190
3/1/20,87689,2990,41209,43490,87689,0,41209,46.99,3.41,66
3/10/20,118335,4261,62798,51276,118335,0,62798,53.07,3.6,105
3/11/20,125996,4604,65109,56283,125996,0,65109,51.68,3.65,111
3/12/20,131786,4910,66431,60445,131786,0,66431,50.41,3.73,113
3/13/20,146170,5407,68356,72407,146170,0,68356,46.76,3.7,119
3/14/20,157244,5827,70727,80690,157244,0,70727,44.98,3.71,134
3/15/20,168513,6468,74138,87907,168513,0,74138,44.0,3.84,138
3/16/20,183321,7146,76192,99983,183321,0,76192,41.56,3.9,143
3/17/20,199264,7960,78936,112368,199264,0,78936,39.61,3.99,146
3/18/20,218823,8867,81423,128533,218823,0,81423,37.21,4.05,150
